reason,super_reasons,museum_id
financial - funding cut - ace funding cut,withdrawal of arts council funding,mm.wiki.167
financial - costs - low revenue,insufficient revenue,mm.wiki.102
life events - death - death of owner; life events - retirement - retirement of owner,death of owner; owner(s) retired from museum work,mm.aim82NM.027
financial - funding cut - local authority funding cut,local authority funding cuts,mm.misc.155
financial - costs - low revenue; loss of premises - change of use - space repurposed; low visitor numbers,low revenue; space repurposed; low visitors,mm.wiki.185
strategic closure - seeking new premises,seeking new premises,mm.domus.SW142
low visitor numbers; financial - costs,too few visitors; increasing costs,mm.aim82NM.079
life events - death - death of owner,death of owner,mm.aim82NM.077
loss of premises - change of use - space repurposed,repurposing of space,mm.domus.NW149
loss of premises - change of use,premises repurposed,mm.wiki.222
life events - too much work,too much work for owners,mm.aim82NM.045
loss of premises,loss of premises,mm.aim82NM.119
loss of premises,loss of premises?,mm.domus.SW192
strategic closure - replacement museum,replacement,mm.domus.SE185
financial - funding cut - local authority funding cut,local authority funding cut,mm.wiki.337
loss of premises - change of use - space repurposed; financial - funding cut,repurposed space; reallocation of financial resources,mm.Mus70Cal.010
life events - too much work,too much work for owners,mm.misc.030
loss of premises - sold,sale of premises,mm.aim.0129
building - unsuitable; staff - insufficient staff,unsuitable building; lack of staff,mm.aim82NM.028
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.misc.211
loss of premises,loss of premises,mm.aim.0127
loss of premises - change of use,refurbishment of museum,mm.domus.SE216
building - building destroyed - fire; destruction - building destroyed - arson,fire destroyed building; arson,mm.domus.SE467
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.aim.1194
life events - retirement - retirement of owner,owner(s) retired from museum work?,mm.wiki.049
financial - costs - low revenue; loss of premises - change of use,insufficient revenue; premises repurposed,mm.New.203
low visitor numbers,falling visitor numbers;,mm.domus.SW147
financial - recession,recession?,mm.aim82M.066
life events - illness; loss of premises - sold,illness; sale of premises,mm.wiki.090
life events - illness; life events - owner moved house,illness; owners moved,mm.wiki.149
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.091
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE268
restructure of host organisation - relocation; strategic closure - replacement museum,relocation; replacement museum,mm.aim.0126
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.336
restructure of host organisation - relocation; strategic closure - replacement museum,relocation; replacement museum,mm.domus.SE279
restructure of host organisation - change in corporate priorities,corporate priorities changed,mm.misc.072
low visitor numbers; restructure of host organisation - relocation,too few visitors; relocation of host institution,mm.domus.SE109
financial - costs - low revenue,insufficient revenue,mm.wiki.119
life events - illness; life events - retirement - retirement of owner,illness; retirement from museum work,mm.musa.001
loss of premises - change of use - space repurposed,repurposed space,mm.aim82M.068
financial - recession; life events - too much work; other,recession; too much work; other problems,mm.wiki.394
loss of premises,loss of premises,mm.hud.007
loss of premises,loss of premises,mm.domus.NE022
strategic closure - amalgamation,amalgamation,mm.domus.SC297
loss of premises - legal - lease expired,lease expired,mm.misc.046
financial - funding cut - local authority funding cut; low visitor numbers,local authority funding cut; too few visitors,mm.domus.YH095
staff - insufficient staff - no succession,lack of succession from owner,mm.aim82M.029
loss of premises - change of use,premises repurposed,mm.misc.055
strategic closure - replacement museum,strategic relaunch,mm.New.104
building - building destroyed,building demolished,mm.aim82NM.101
strategic closure - amalgamation,amalgamation,mm.domus.SE189
strategic closure - replacement museum,strategic relaunch,mm.domus.YH165
life events - death - death of owner,owner died?,mm.domus.SE149
financial - costs - deficit,financial difficulties,mm.domus.SC193
financial - costs - unsustainable,financially unsustainable,mm.domus.SC305
life events - death - death of owner,death of owner,mm.aim82M.052
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE075
strategic closure - replacement museum,replacement,mm.domus.SE275
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.aim.0663
financial - costs,costs too high,mm.wiki.367
life events - death - death of owner; life events - retirement - retirement of owner,death of owner; owner(s) retired from museum work,mm.domus.EM100
financial - costs - deficit; financial - funding cut - local authority funding cut,ran a deficit; local authority funding cuts,mm.New.168
strategic closure - amalgamation,amalgamation,mm.domus.EM046
life events - death - death of owner,death of owner,mm.aim82NM.052
building - unsuitable - too small; building - unsuitable - access,too small; access issues,mm.domus.WM076
loss of premises,loss of premises,mm.wiki.075
life events - retirement - retirement of owner,owner(s) retired from museum work?,mm.New.147
life events - death - death of owner,owner died?,mm.wiki.455
loss of premises,loss of premises?,mm.mgs.357
financial - costs - building costs,costs of building too high,mm.domus.SE509
low visitor numbers; financial - costs - low revenue; staff - insufficient staff - no volunteers,too few visitors; insufficient revenue; too few volunteers,mm.wiki.271
other - change of management within local authority,change of management within local authority,mm.domus.YH018
strategic closure - replacement museum,replacement museum,mm.domus.NW105
life events - death - death of owner; loss of premises - change of use - space repurposed,death of owner; space repurposed,mm.mald.013
financial - costs - building costs; financial - costs - low revenue,building costs; failed funding bid,mm.Mus70Cal.015
loss of premises - legal - lease expired,lease expired,mm.misc.198
building - unsuitable - access; financial - funding cut - local authority funding cut; building - condition of building - deterioration,lack of access; withdrawal of local authority funding;  deterioration of building,mm.domus.WM051
strategic closure - amalgamation,amalgamation,mm.domus.NE058
life events - death - death of owner,death of owner,mm.wiki.179
life events - death - death of owner,death of owner,mm.wiki.374
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.061
loss of premises - redevelopment - redevelopment of building,redevelopment of building,mm.domus.SC215
other,changed offer,mm.wiki.316
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE263
financial - costs - unsustainable,financially unviable,mm.aim.0956
financial - costs - unsustainable,financially unviable,mm.New.96
low visitor numbers; loss of premises - redevelopment - redevelopment of site,falling visitor numbers; redevelopment of site,mm.domus.NW089
loss of premises - legal - lease expired; collections - lender requested return of loans,lease expired; lender requested return of loans,mm.New.211
low visitor numbers; financial - costs - unsustainable,falling visitor numbers; financially unviable,mm.New.140
,premises sold,mm.MDN.031
financial - costs - unsustainable,financially unviable,mm.domus.YH109
life events - illness,illness,mm.musa.369
financial - costs; other - already running another museum,excessive costs; already running another museum,mm.wiki.105
financial - costs - low revenue; financial - costs,insufficient revenue; unaffordable costs,mm.domus.WA017
financial - funding cut - shopping centre withdrew subsidy,shopping centre withdrew subsidy,mm.mgs.302
other,changed offer,mm.domus.SE286
financial - costs - deficit; loss of premises,financial difficulties; loss of site,mm.aim.0779
financial - funding cut - local authority funding cut; low visitor numbers,local authority funding cut; too few visitors,mm.domus.EM030
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SC029
financial - funding cut - local authority funding cut,local authority funding cut,mm.mgs.298
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.353
financial - funding cut,funding cuts?,mm.domus.SC224
low visitor numbers; financial - costs - deficit,too few visitors; running a deficit,mm.misc.053
life events - divorce,divorce?,mm.wiki.062
life events - divorce,divorce?,mm.wiki.060
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.063
loss of premises - change of use,repurposing of premises?,mm.aim82NM.103
loss of premises - legal - eviction,evicted from premises,mm.wiki.361
low visitor numbers; financial - insolvency; other - nearby businesses closed; financial - funding cut - local authority funding cut,too few visitors;insolvency; nearby businesses closed; withdrawal of council funding,mm.wiki.344
other,associated business closed,mm.aim82NM.075
life events - death - death of owner,death of owner,mm.fcm.175
financial - funding cut - local authority funding cut,local authority funding cut,mm.wiki.411
financial - costs - lease cost,renewal of lease too expensive,mm.misc.019
loss of premises,loss of premises,mm.wiki.389
life events - death - death of owner; financial - costs - unsustainable,death of owner; financially unsustainable,mm.wiki.015
loss of premises; loss of premises - sold,loss of premises; site sold,mm.New.154
loss of premises; loss of premises - redevelopment,loss of premises; site redeveloped,mm.misc.080
life events - too far away for owners,too far away for owners,mm.wiki.294
financial - costs - unsustainable,unsustainable,mm.domus.SC001
building - unsuitable - access; life events - owner's age,access issues; owner's age,mm.musa.225
loss of premises,loss of premises,mm.domus.NI007
loss of premises; loss of premises - redevelopment,loss of premises; site redeveloped,mm.wiki.254
financial - costs - unsustainable,financially unviable,mm.wiki.383
loss of premises - legal; other - return of management to local authority,lease terminated; return of management to local authority,mm.domus.YH033
life events - retirement - retirement of owner,owner(s) wanted to retire from museum work,mm.misc.014
life events - retirement - retirement of owner,owner(s) wanted to retire from museum work,mm.wiki.200
financial - costs - unsustainable,financially unviable,mm.aim.0431
loss of premises - legal,lease terminated,mm.wiki.107
restructure of host organisation - relocation; collections - collection repurposed,relocation; collection repurposed,mm.wiki.282
life events - retirement - retirement of owner,owner(s) retired,mm.New.28
other - theft; financial - costs - unsustainable,burglary; financially unviable,mm.wiki.073
life events - retirement - retirement of owner,owner(s) retired,mm.wiki.387
financial - costs,rent increase,mm.aim.0557
unknown,unknown,mm.New.69
low visitor numbers,too few visitors,mm.aim82NM.064
loss of premises,loss of premises,mm.New.81
strategic closure - amalgamation,amalgamation,mm.domus.SE414
loss of premises - redevelopment,redevelopment,mm.domus.SW009
financial - costs - low revenue,insufficient revenue,mm.domus.NW179
financial - costs - low revenue,insufficient revenue,mm.ace.1193
building - condition of building - deterioration; staff - area unsafe for staff; financial - costs - unsustainable,deterioration of building; area unsafe for staff; building unsafe; financially unsustainable,mm.Mus70Cal.011
loss of premises - legal,lease terminated,mm.aim.1281
financial - funding cut - local authority funding cut,local authority budget cuts,mm.domus.YH166
restructure of host organisation - regimental reorganisation,regimental reorganisation,mm.domus.SE327
loss of premises - legal - lease expired; life events - retirement - retirement of owner,lease expired; retirement of owner,mm.wiki.114
loss of premises - redevelopment - redevelopment of site,redevelopment of site,mm.wiki.355
strategic closure - amalgamation,amalgamation,mm.domus.WA059
loss of premises - change of use,premises repurposed,mm.domus.YH059
financial - funding cut - local authority funding cut,local authority budget cuts?,mm.domus.NW091
loss of premises,loss of premises?,mm.domus.NW135
low visitor numbers; loss of premises - change of use - space repurposed,low visitor numbers; space repurposed,mm.aim82M.004
financial - costs - low revenue,insufficient revenue,mm.wiki.454
financial - costs,costs,mm.domus.YH051
loss of premises - redevelopment,site redeveloped,mm.domus.SC242
loss of premises,loss of premises,mm.aim.0658
financial - funding cut - charity lost funding,charity lost funding,mm.domus.SW113
loss of premises; loss of premises - legal - lease expired,loss of premises; lease expired,mm.aim.0215
loss of premises,loss of premises,mm.wiki.082
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.SE104
financial - funding cut - local authority funding cut,local authority cuts,mm.wiki.117
loss of premises,loss of premises?,mm.ace.1240
financial - funding cut - local authority funding cut,local authority cuts,mm.ace.1103
financial - funding cut - local authority funding cut,local authority cuts?,mm.domus.SC141
low visitor numbers; financial - costs,too few visitors; costs?,mm.aim.1031
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.SE066
unknown,unknown,mm.misc.239
financial - costs - low revenue,insufficient revenue,mm.misc.094
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.YH012
financial - funding cut,funding cut,mm.domus.SC123
building - unsuitable - access; other - location no longer suitable,accessibility issues; location no longer suitable,mm.domus.SE324
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.aim82NM.061
low visitor numbers; financial - costs - unsustainable,too few visitors; financially unsustainable,mm.domus.SE446
low visitor numbers,too few visitors?,mm.domus.SC053
financial - costs - building costs; building - unsuitable; building - unsuitable - access,costs of building too high; premises unsuitable; accessibility,mm.domus.EM020
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.NW035
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.SW077
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.domus.SW067
life events - illness,illness,mm.wiki.447
strategic closure - replacement museum,replacement museum,mm.domus.WM021
restructure of host organisation - relocation,relocation?,mm.domus.SE103
financial - funding cut - museums scotland funding cut,museums scotland funding cut,mm.domus.SC282
financial - funding cut - local authority funding cut; low visitor numbers,local authority cuts; too few visitors,mm.domus.EM075
low visitor numbers; financial - costs,too few visitors; rising costs,mm.wiki.006
loss of premises - redevelopment; strategic closure - amalgamation,redevelopment; amalgamation,mm.domus.SE421
loss of premises,loss of premises,mm.aim.1082
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE074
financial - costs; life events - illness,excessive costs; illness,mm.wiki.096
financial - funding cut - dfe funding cut,dfe funding cut,mm.wiki.178
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.domus.SW168
financial - costs - low revenue,insufficient revenue,mm.aim82M.049
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.NW012
financial - funding cut - local authority funding cut,local authority cuts,mm.wiki.423
unknown,unknown,mm.misc.012
low visitor numbers,too few visitors?,mm.misc.163
loss of premises - change of use - space repurposed,space repurposed,mm.misc.200
dispute - dispute with local authority; financial - costs,dispute with local authority; costs,mm.hha.091
other - reverted to private use,reverted to private use,mm.wiki.218
financial - costs - low revenue,insufficient revenue?,mm.wiki.148
other - reverted to private use,reverted to private use,mm.wiki.466
financial; other - reverted to private use,managing trust liquidated; reverted to private use,mm.aim.0407
low visitor numbers; financial - costs - low revenue,too few visitors; insufficient revenue,mm.wiki.340
loss of premises - change of use,removal of adjoining library,mm.wiki.186
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.SE044
strategic closure - amalgamation,amalgamation,mm.domus.SE458
building - unsuitable - poor environmental conditions,poor environmental conditions,mm.ace.1260
other,change of use to family home,mm.hha.107
other - loss of perceived value; financial - funding cut - university cost cutting,loss of perceived value; university cost cutting,mm.domus.SE059
other,associated business closed,mm.MDN.029
dispute - access refused by host organisation,access refused by host organisation,mm.wiki.358
,never fully established as a museum with collections,mm.domus.WA074
life events - owner moved house,owner moved house,mm.aim.1121
life events - owner moved house,owner moved house,mm.aim82M.002
life events - owner moved house,owner moved house,mm.mgs.311
life events - owner moved house,owner moved house,mm.mgs.341
life events - owner moved house,owner moved house,mm.domus.SE513
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.fcm.160
financial - costs - unsustainable; financial - funding cut - external funding cut,financially unsustainable; external funding cut,mm.domus.EM047
loss of premises - sold,building sold,mm.wiki.173
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.aim82NM.005
other - associated business sold,associated business sold,mm.aim82NM.029
financial - funding cut - local authority funding cut,local authority funding cut,mm.wiki.155
other; building - unsuitable,conservation issues; premises unsuitable,mm.domus.NW032
low visitor numbers,too few visitors,mm.domus.NE009
financial - managing trust disposing of liabilities,managing trust disposing of liabilities?,mm.mgs.413
life events - illness,illness,mm.wiki.292
life events - owners fell out,owners fell out,mm.mald.148
life events - illness,illness,mm.fcm.154
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.071
financial - funding cut - local authority funding cut,local authority funding cuts,mm.domus.NE036
unknown,unknown,mm.aim82NM.083
life events - retirement - retirement of owner; life events - death - death of owner,owner(s) retired from museum work; death of owner,mm.aim82M.033
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.043
restructure of host organisation - regimental reorganisation,regimental reorganisation,mm.domus.EM060
financial - costs - building costs; building - unsuitable - access; low visitor numbers,building costs; accessibility issues; too few visitors,mm.domus.EM053
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.aim.0052
life events - death - death of owner,death of owner,mm.aim82NM.091
life events - death - death of owner,death of owner,mm.wiki.309
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.misc.165
financial - costs,rent increase,mm.mald.027
restructure of host organisation - change in corporate priorities; loss of premises - legal - lease expired,change in corporate priorities; lease expired,mm.musa.116
,site repurposed?,mm.wiki.481
life events - death - death of owner,death of owner?,mm.aim.1217
life events - retirement - retirement of owner; building - change of use,owner(s) retired from museum work; repurposing of site,mm.wiki.315
